,pageno,heading,content
0,,Our World through English,
1,,Class IX,"TEXTBOOK DEVELOPMENT & PUBLISHING COMMITTEEChief Production Officer:Sri A. Satyanarayana ReddyDirector, SCERT,  Hyderabad.Chief Production Organiser:Sri B. SudhakarDirector,  Govt. Textbook Press,Hyderabad.Organising Incharge:Dr. Nannuru Upender ReddyProf. & Head, Curriculum and TextbooksDepartment, SCERT,  Hyderabad.Published byThe Government of  Telangana, Hyderabad.IQR Code Team"
2,,Preface,"The State Council of Educational Research and Training has developed the StateCurriculum Framework - 2011 and Position Papers in tune with the National CurriculumFramework - 2005 and the Right to Education Act - 2009.  Accordingly a new set of textbookshas been designed to be introduced in a phased manner.  In the year 2012-13, the first of thisseries of textbooks has developed for classes I, II, III, VI, and VII. In the year 2013-14 forthe remaining classes IV, V, VIII and IX  textbooks have developed. Practicing teachershave been involved in the production of the textbooks along with the state level and nationallevel experts.Hitherto, English was introduced in Non-English Medium Schools in class III. The StateGovernment introduced English for the first time in class  I in 2011-12 in all Non-EnglishMedium Schools also. In the year 2012-13, English has been introduced  in class II in allNon-English Medium Schools. With this, all classes from I to X will have English as one ofthe subjects, irrespective of the medium of instruction. Therefore, in order to have parityamong students of English and non- English medium, a common English textbook wasintroduced in all media from June 2012. Moreover, since IT enabled learning, multilingualism,and language across the curriculum would greatly enhance the child's learning, it would not bea problem for the non- English medium child to learn English as effectively as the child inEnglish medium does. This single textbook norm is already in practice in many states includingTamilnadu, Bihar, and Kerala. Further, students of all media have a common English Textbookat Intermediate level in our state.This textbook, “Our World through English” class IX,  is an integrated one in thesense it has The Main Reader component, The Supplementary  Reader component and TheWorkbook component interwoven into a single textbook.  Hence, these components arefound in each and every unit.  The language skills  listening, speaking, reading, and writing areintegrated in the larger context of the themes as suggested in NCF - 2005. The activities areso designed as to ensure the holistic treatment of language.Inclusion of Gender Sensitivity and Child Sexual Abuse in School Text Books publishedby School Education Department with support of UNICEF is taken up to ensure protectionof children through various interventions like personal safety rules, gender sensitivity, childsexual abuse, self esteem and life skills. In these areas safety mechanisms and laws related tochild protection are taken care of. Hence, the teachers must know about these things andbring awareness among all the stakeholders.The main aim of teaching English is to help learners evolve themselves as independentusers of English.  I hope this textbook will help teachers and students achieve this by makingthe teaching-learning process effective.I thank all the institutions and experts at the state and national level, the members of theTextbook Production  and Development Committees, the staff members of  the SCERT, T.S.Hyderabad and all others who have contributed directly or indirectly for the successfulproduction of this textbook.Any suggestions for the improvement of this book are welcome.DirectorSCERT., Hyderabad.12-11-2012HyderabadIV"
3,,ACKNOWLEDGEMENTS,"The State Council of  Educational Research and Training,Telangana is most grateful to the following for their valuablecontributions in the development of this book - ProfessorR.K.Agnihotri, Dr.A.L.Khanna,  Dr. K.N.Anandan and P.K.Jayaraj.The Council also thanks the following authors, copyright holdersfor permission to use stories, articles, and poems included in thisbook.The Snake and the Mirror by Vaikom Muhammad Basheer,The Duck and the Kangaroo by Edeard Lear, The  Accidental Touristby Bill Bryson and Kathmandu   by Vikram Seth , Little Bobby  byRitcharao, True Height by David Naster, What Is a Player? by JessicaTaylor,  V.V.S. Laxman, Very Very Special from Sportstar, Not Just aTeacher, but a Friend from www.familyfriendpoems.com, Homeworkfrom www.preservearticles.com, Can’t Climb Trees Any More byRuskin Bond, Grabbing Everything on the Land by Lily Usher,Father Returning Home by Dilip Chitre.It has not been possible to trace the copyright in all the cases.The publishers apologise for any omissions and would be glad to hearfrom any such unacknowledged copyright holders.VI"
4,,OUR NATIONAL ANTHEM,"- Rabindranath TagoreJana-gana-mana-adhinayaka, jaya heBharata-bhagya-vidhata.Punjab-Sindh-Gujarat-MarathaDravida-Utkala-VangaVindhya-Himachala-Yamuna-GangaUchchhala-Jaladhi-taranga.Tava shubha name jage,Tava shubha aasisha mage,Gahe tava jaya gatha,Jana-gana-mangala-dayaka jaya heBharata-bhagya-vidhata.Jaya he, jaya he, jaya he,Jaya jaya jaya, jaya he!"
5,,PLEDGE," Pydimarri Venkata Subba RaoIndia is my country. All Indians are my brothers and sisters.I love my country, and I am proud of its rich and varied heritage.I shall always strive to be worthy of it.I shall give my parents, teachers and All elders respect,and treat everyone with courtesy. I shall be kind to animals.To my country and my people, I pledge my devotion.In their well-being and prosperity alone lies my happiness.VII"
6,,Humour,Look at the picture and answer the questions that follow.
7,,The Snake and the Mirror,
8,,THE HYDERABAD LAUGHING CLUB,For the best write-up onANNOUNCES
9,,THE RAJABABU PRIZE,"Deadline for Entries( Give your contactdetails)For Furtherinformation andsubmission ofpublished entriesCONTACT:President,The HyderabadLaughing ClubPublic Gardens, Nampally,Hyderabad - 500 001Contact No: 9xxxxxxxxxwww. hlc.org/awards"
