,pageno,heading,content
0,,Our World through English,
1,,Class X,"TEXTBOOK DEVELOPMENT & PUBLISHING COMMITTEEChief Production Officer:Dr. G.Gopal  ReddyDirector, SCERT, Hyderabad.Chief Production Organiser:Sri B. SudhakarDirector, Govt. Textbook Press,Hyderabad.Organising Incharge:Dr. Nannuru Upender ReddyProf. & Head, Curriculum and TextbooksDepartment, SCERT, Hyderabad.Published byThe Government of  Telangana, Hyderabad.1Free distribution by T.S. GovernmentEnglish Class XIFree distribution by T.S. Government 2021-22QR Code TeamFree distribution by T.S. Government 2021-22English Class X© Government of Telangana, Hyderabad.First Published 2014New Impression 2015, 2016, 2017, 2018, 2019,2020, 2021All rights reservedNo part of this publication may be reproduced, stored ina retrieval system, or transmitted, in any form or by anymeans without the prior permission in writing of thepublisher, nor be otherwise circulated in any form ofbinding or cover other than that in which it is publishedand without a similar condition including this conditionbeing imposed on the subsequent purchaser.The copyright holder of this book is the Director ofSchool Education, Hyderabad, Telangana.Printed in Indiaat the Telangana Govt. Textbook Press,Mint Compound, Hyderabad,Telangana.This book has been printed on 70 G.S.M. MaplithoTitle Page 200 G.S.M. White Art CardFree Distribution by T.S. Government 2021-22Free distribution by T.S. GovernmentEnglish Class XIIFree distribution by T.S. Government 2021-223Free distribution by T.S. Government 2021-22English Class X"
2,,Textbook Development Committee,
3,,English - Class  X,"MembersSri Navuluri Peraiah, SA, ZPHS,Ponnaluru, Prakasam District.Sri Y.G.K.Murthy, Staff Tutor, DIET,  Khammam Dist.Sri K.Venkata Rama Rayudu,  OiC, ELTC, DIET, E.G. Dist.Sri G.Sreenivasa Rao, SA, ZPHS, Kankipadu, Krishna Dist.Dr. T.T.P. Mohan Babu, Lecturer, GDC, Porumamilla, Kadapa Dist.Smt. K.Indira, PGT in English APRS(G),Vikarabad, Ranga Reddy Dist.Sri K. Srinivas Reddy, SA, ZPHS, Kasimdevipet, Warangal Dist.Sri Ch. Pradyumna Kumar, OiC, ELTC, DIET, Karimnagar Dist.Sri K. Ramesh Rao, SA, GHS, Huzurabad, Karimnagar Dist.Sri V. Johnson, SA, ZPHS, Poranki, Krishna Dist.Sri K.Janaki Ramaiah, SA, ZPHS,Adipudi, Prakasam District.Smt G. Rajanikantha Kumari, Chief Tutor, DCE, Guntur Dist.Chief Coordinator  Dr. P. Jani Reddy, Lecturer, DIET, Vikarabad, Ranga Reddy Dist.AdvisorsDr. D. Kanaka Durga, Rtd. Prof. Osmania University, Hyderabad.Sri P. Nageswara Rao, Principal, GJC, Thungathurthy, Nalgonda Dist.EditorsDr. Amrit Lal Khanna, ELT Consultant, Rtd. Associate Prof., University of Delhi.Dr. K.N. Anandan, Linguist and ELT Consultant, Kerala.Chief EditorDr. Rama Kant Agnihotri, Rtd. Professor, University of Delhi.IllustratorsMr. K.Srinivas, HM,ZPHS, Kurmedu, Nalgonda Dist.Mr. K. Babu, HM, ZPHS, Vajjapally, Nizamabad Dist.Mr. Beera Srinivas, Teacher, Burgampahad, Khammam Dist.Mr. T.V. Ramakishan, DM, ZPHS, Duddeda, Medak Dist.Mr. K. Srinivas, Art Teacher, ZPHS, Kopalle, W.G. Dist.Layout DesignAnchala Designing Solutions, Narayanaguda, HyderabadMr. Kannaiah Dara, Graphic Designer, SCERT, Hyderabad2Free distribution by T.S. GovernmentEnglish Class XIIIFree distribution by T.S. Government 2021-22Free distribution by T.S. Government 2021-22English Class X"
4,,Preface,"The State Council of Educational Research and Training has developed the State CurriculumFramework - 2011 and Position Papers in tune with the National Curriculum Framework - 2005and the Right to Education Act - 2009.  Accordingly a new set of textbooks has been designed tobe introduced in a phased manner.  In the year 2012-13, the first of this series of textbooks wasdeveloped for classes I, II, III, VI, and VII. In the year 2013-14 for  classes IV, V, VIII and IXand for class X textbook  in 2014-15. Practicing teachers have been involved in the production ofthe textbooks along with the state level and national level experts.Hitherto, English was introduced in Non-English Medium Schools in class III.  The StateGovernment introduced English for the first time in class  I in 2011-12 in all Non-English MediumSchools also. In the year 2012-13, English has been introduced  in class II in all Non-EnglishMedium Schools. With this, all classes from I to X will have English as one of the subjects,irrespective of the medium of instruction. Therefore, in order to have parity among students ofEnglish and non- English medium, a common English textbook has been  introduced in all mediafrom June 2012. Moreover, since IT enabled learning, multilingualism, and language across thecurriculum would greatly enhance the child's learning, it would not be a problem for the non-English medium child to learn English as effectively as the child in English medium does. This singletextbook norm is already in practice in many states including Tamilnadu, Bihar, and Kerala. Further,students of all media have a common English Textbook at Intermediate level in our state.This textbook, “Our World through English” class X,  is an integrated one in the sense ithas the Main Reader component, the Supplementary  Reader component and the Workbookcomponent interwoven into a single textbook.  Hence, these components are found in each andevery unit.  The language skills  listening, speaking, reading, and writing are integrated in the largercontext of the themes as suggested in NCF - 2005. The activities are so designed as to ensure theholistic treatment of language.Inclusion of Gender Sensitivity and Child Sexual Abuse in School Text Books published bySchool Education Department with support of UNICEF is taken up to ensure protection of childrenthrough various interventions like personal safety rules, gender sensitivity, child sexual abuse, selfesteem and life skills. In these areas safety mechanisms and laws related to child protection aretaken care of. Hence, the teachers must know about these things and bring awareness among allthe stakeholders.The main aim of teaching English is to help learners evolve themselves as independent usersof English.  I hope this textbook will help teachers and students achieve this by making the teaching-learning process effective.I thank all the institutions and experts at the state and national level, the members of theTextbook Production  and Development Committees, the staff members of  the SCERT, T.S.Hyderabad and all others who have contributed directly or indirectly for the successful productionof this textbook.Any suggestions for the improvement of this book are welcome.DirectorSCERT.,  Hyderabad.27-11-2013HyderabadFree distribution by T.S. GovernmentEnglish Class XIVFree distribution by T.S. Government 2021-225Free distribution by T.S. Government 2021-22English Class XJune1-32July33-74August75-98September99-132October133-162November163-194December195-222January223-249AppendicesTexts for Listening250-255About the Textbook and Assessment Procedures256-2604Free distribution by T.S. GovernmentEnglish Class XVFree distribution by T.S. Government 2021-22Free distribution by T.S. Government 2021-22English Class X"
5,,ACKNOWLEDGEMENTS,"The State Council of  Educational Research and Training,  AndhraPradesh is most grateful to the following for their valuablecontributions in the development of this book - ProfessorR.K.Agnihotri, Dr.A.L.Khanna and  Dr. K.N.Anandan.The Council also thanks the following authors, copyright holdersfor permission to use stories, articles, and poems included in thisbook.Attitude Is Altitude from Daily Mail, Every Success Story Isalso a Story of Great Failures by Shiv Khera, I will Do It by SudhaMurthy, The Journey by Yeshe Dorjee Thongchi, Another Womanby Ms. Imtiaz Dharker, Rendezvous with Ray from Frontline, MayaBazaar from The Hindu, A tribute with the help of Dr. B. SyamaSundari, A bandoned by Dr. Suraya Nasim, Environment fromwww.gbmna.com , Or will the Dreamer Wake? by Medora Chevalier,My Childhood by APJ Abdul Kalam, Once upon a Time by GabrielOkara and What Is My Name? by P. Satyavati..It has not been possible to trace the copyright in all the cases.The publishers apologise for any omissions and would be glad to hearfrom any such unacknowledged copyright holders.Free distribution by T.S. GovernmentEnglish Class XVIFree distribution by T.S. Government 2021-227Free distribution by T.S. Government 2021-22English Class X"
6,,OUR NATIONAL ANTHEM,"- Rabindranath TagoreJana-gana-mana-adhinayaka, jaya heBharata-bhagya-vidhata.Punjab-Sindh-Gujarat-MarathaDravida-Utkala-VangaVindhya-Himachala-Yamuna-GangaUchchhala-Jaladhi-taranga.Tava shubha name jage,Tava shubha aasisha mage,Gahe tava jaya gatha,Jana-gana-mangala-dayaka jaya heBharata-bhagya-vidhata.Jaya he, jaya he, jaya he,Jaya jaya jaya, jaya he!"
7,,PLEDGE,"- Pydimarri Venkata Subba RaoIndia is my country. All Indians are my brothers and sisters.I love my country, and I am proud of its rich and varied heritage.I shall always strive to be worthy of it.I shall give my parents, teachers and all elders respect,and treat everyone with courtesy. I shall be kind to animals.To my country and my people, I pledge my devotion.In their well-being and prosperity alone lies my happiness.6Free distribution by T.S. GovernmentEnglish Class XVIIFree distribution by T.S. Government 2021-22Free distribution by T.S. Government 2021-22English Class XNote to the studentsDear Student,♦As you all know, your English textbook is student-friendly and interactive in nature.♦The new teaching methods and the activities given in the textbook demand your activeparticipation.♦The questions the teacher asks at various stages of learning may have more than oneanswer;♦you are expected to express your  ideas and thoughts freely.What you have to do♦You learn most of the things through interactions, discussions and sharing; better learningtakes place when you participate in them actively.♦Try to understand the main ideas by guessing the meanings of words and sentences. Youmay use the glossary given at the end of the text or use a dictionary.♦Try to identify the features of the text (such as story, essay, poem, etc.) you are reading andshare them with your classmates.♦While working in groups, take turns to share what you could understand, what you couldnot understand and the parts you liked the most.♦Think critically (offer multiple points of view) to answer the questions the teacher asksyou.♦Your teacher will give you a possible writing task (conversation, description, narrative,etc.) after reading a part of the text. Brainstorm the task in the whole class and then attemptit individually and present it before the group /class.♦After getting further inputs/feedback from your teacher / group, work individually toimprove your writing. Share your writing with your group to refine it.♦The project work and the study skills are as important as  the other components in a unit.♦Most of the examination will be text independent. You will get unseen texts to answerwriting tasks relating to language.♦At the end of each unit you will find a page meant for self assessment. You are expected toread the statements and respond to them.♦Since most of the examination will be text independent, the guides and question banks maynot be of much use to you for your examinations.♦You can improve your language by interacting in English with your friends and teachersand by reading stories, newspapers, etc. and by listening to and watching, Englishprogrammes on TV.♦If you are not able to express your ideas in English, you can share them in your mothertongue. Later, collectively decide how to say it in English.Wish you happy learning!Free distribution by T.S. GovernmentEnglish Class XVIIIFree distribution by T.S. Government 2021-221Free distribution by T.S. Government 2021-22English Class X1"
8,,A - Attitude Is Altitude,
9,,B - Every Success Story,
